cpu_model_name;nb_cpu_cores;RAM_size;day;hour;cpu_freq_limit percent;current_cpu_frequency_limits;cpu_usage_percent;ram_usage_percent;energy_consumption
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:06:15;0;800;100;25.55;5.97
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:06:17;0;800;100;25.44;6.09
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:06:19;0;800;100;26.38;5.29
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:06:21;0;800;100;26.44;6.12
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:06:22;0;800;100;26.44;6.11
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:06:24;0;800;100;26.29;5.94
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:06:36;1;818;100;26.43;6.08
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:06:38;1;818;100;26.45;5.93
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:06:40;1;818;100;26.49;6.16
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:06:42;1;818;100;26.44;6.16
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:06:44;1;818;100;26.46;5.56
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:06:45;1;818;100;25.62;5.90
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:06:59;2;836;100;25.72;6.07
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:07:01;2;836;100;26.18;6.13
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:07:03;2;836;99;27.56;6.20
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:07:05;2;836;100;25.70;5.53
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:07:07;2;836;100;25.75;5.84
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:07:21;3;854;100;26.46;6.10
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:07:23;3;854;100;26.38;5.48
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:07:25;3;854;100;26.19;6.08
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:07:27;3;854;100;25.79;5.82
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:07:29;3;854;100;25.75;5.77
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:07:41;4;872;100;26.63;5.94
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:07:43;4;872;100;26.67;6.00
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:07:45;4;872;100;26.69;6.06
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:07:47;4;872;100;26.71;6.08
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:07:49;4;872;100;26.67;6.16
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:08:03;5;890;100;27.66;5.94
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:08:05;5;890;100;26.01;6.08
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:08:07;5;890;100;25.97;5.90
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:08:09;5;890;100;25.96;5.78
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:08:11;5;890;100;26.01;5.73
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:08:25;6;908;100;26.74;5.52
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:08:27;6;908;100;26.76;6.20
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:08:29;6;908;100;26.82;5.73
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:08:31;6;908;100;26.79;6.08
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:08:33;6;908;100;26.75;6.14
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:08:47;7;926;100;26.03;5.93
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:08:49;7;926;100;25.92;6.14
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:08:51;7;926;100;25.99;6.00
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:08:53;7;926;100;25.96;5.88
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:08:55;7;926;100;25.98;5.88
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:09:09;8;944;100;26.61;5.56
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:09:11;8;944;100;26.68;6.15
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:09:13;8;944;100;26.75;5.81
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:09:15;8;944;100;26.58;5.44
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:09:17;8;944;100;26.41;5.73
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:09:30;9;962;100;26.98;5.90
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:09:32;9;962;100;26.92;5.93
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:09:34;9;962;100;26.93;6.03
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:09:36;9;962;100;26.91;6.14
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:09:38;9;962;100;26.98;5.81
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:09:52;10;980;100;27.01;6.01
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:09:54;10;980;100;27.05;6.08
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:09:57;10;980;100;26.82;6.06
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:09:58;10;980;100;27.03;5.90
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:10:13;11;998;100;26.35;5.80
Intel(R) Core(TM) i5-3317U CPU @ 1.70GHz;4;3463260;2021-07-23;18:10:15;11;998;100;26.41;6.17
